Month Year      ARS     ARS/USD
06    1992      3.30    0.99   
06    1993      3.60    1      
06    1994      3.60    1      
06    1995      3.00    1      
06    1996      3.00    1      
06    1997      2.50    1      
06    1998      2.50    1      
06    1999      2.50    1      
04    2000      2.50    1      
04    2001      2.50    1      
04    2002      2.50    3.13   
04    2003      4.10    2.88   
05    2004      4.36    2.95   
06    2005      4.75    2.90   
01    2006      4.75    3.06   
05    2006      7.00    3.06   
01    2007      8.25    3.09   
06    2007      8.25    3.09   
06    2008     11.00    3.02   
07    2009     11.50    3.81   
01    2010      7.00    3.80   
07    2010     14.00    3.93   
07    2011     20.00    4.13   
01    2012     20.00    4.31   
07    2012     19.00    4.57   
01    2013     19.00    4.98   
07    2013     21.00    5.41   
01    2014     21.00    6.92   
07    2014     21.00    8.17   
