Month Year   AUD     USD/AUD 
06    1992   2.54    1.31
06    1993   2.45    1.39
06    1994   2.45    1.42
06    1995   2.45    1.35
06    1996   2.50    1.27
06    1997   2.50    1.29
06    1998   2.65    1.51
06    1999   2.65    1.59
04    2000   2.59    1.68
04    2001   3.00  	 1.98
04    2002   3.00	 1.86
04    2003   3.00	1.61
05    2004   3.25	1.43
06    2005   3.25	1.30
01    2006   3.25	1.33
05    2006   3.25	1.33
01    2007   3.45	1.27
06    2007   3.45	1.17
06    2008   3.45	1.03
07    2009   4.34	1.29
01    2010   4.35	1.09
07    2010   4.35	1.13
07    2011   4.56	0.92
01    2012   4.80	0.97
07    2012   4.56	0.97
01    2013   4.70	0.96
07    2013   5.04	1.09
01    2014   5.05	1.13
07    2014   5.10   1.06
