Month Year   CNY     USD/CNY 
06    1992   6.30    5.44
06    1993   8.50    5.68 
06    1994   9.00	 8.70 
06    1995   9.00	 8.54
06    1996   9.60    8.35
06    1997   9.70    8.33
06    1998   9.90    8.28
06    1999   9.90    8.28
04    2000   9.90    8.28
04    2001   9.90    8.28
04    2002  10.50    8.28
04    2003   9.90    8.28
05    2004  10.40    8.28
06    2005  10.50    8.28
01    2006  10.50    8.06
05    2006  10.50    8.03
01    2007  11.00    7.77
06    2007  11.00    7.60
06    2008  12.50    6.83
07    2009  12.50    6.83
01    2010  12.50    6.83
07    2010  13.20    6.78
07    2011  14.65    6.45
01    2012  15.40    6.32
07    2012  15.65    6.39
01    2013  16.00    6.22
07    2013  16.00    6.13
01    2014  16.60    6.05
07    2014  16.90    6.20

