Month Year  GBP     USD/GBP 
06    1992  1.74  	0.57    
06    1993  1.79	0.641   
06    1994  1.81	0.68    
06    1995  1.74	0.62    
06    1996  1.79	0.66    
06    1997  1.81	0.75    
06    1998  1.84	0.602   
06    1999  1.9 	0.621   
04    2000  1.90	0.63	
04    2001  1.99	0.70	
04    2002  1.99	0.69	
04    2003  1.99	0.63	
05    2004  1.88	0.56	
06    2005  1.88	0.55	
01    2006  1.88	0.57	
05    2006  1.94	0.53	
01    2007  1.94	0.51	
06    2007  1.99	0.50	
06    2008  2.29	0.50	
07    2009  2.29	0.62	
01    2010  2.29	0.62	
07    2010  2.29	0.66	
07    2011  2.39	0.61	
01    2012  2.49	0.65	
07    2012  2.69	0.65	
01    2013  2.69	0.63	
07    2013  2.69	0.67	
01    2014  2.79	0.60	
07    2014  2.89    0.59    

